sentiment_numeric,confidence,title_length,title_word_count,title_has_number,title_has_question,title_has_exclaim,has_comments_text,hour,day_of_week,is_weekend,is_peak_hour,topic_confidence,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9,topic_10,topic_11,topic_12,topic_13,topic_14,topic_15,has_org_mention,org_mention_count,has_person_mention,flair_ADBLOCK WARNING,flair_Artificial Intelligence,flair_Biotechnology,flair_Business,flair_Comcast,flair_Crypto,flair_Energy,flair_Hardware,flair_Machine Learning,flair_Misleading,flair_Nanotech/Materials,flair_Net Neutrality,flair_Networking/Telecom,flair_Other,flair_Politics,flair_Privacy,flair_Robotics/Automation,flair_Security,flair_Social Media,flair_Society,flair_Software,flair_Space,flair_Transportation,viral
-1,0.5265,246,38,1,0,0,1,13,3,0,1,0.2986,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,1,4,1,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0
-1,0.6667,74,14,0,0,0,1,8,3,0,1,0.5774,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,0,0,1,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0
-1,0.6376,75,14,0,0,0,1,18,3,0,1,0.3775,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,1,7,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0
0,0.5808,82,14,0,0,0,1,1,3,0,0,0.4322,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,1,8,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,0
-1,0.8899,88,15,0,0,0,1,16,3,0,1,0.4828,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,1,1,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0
-1,0.8146,64,11,0,0,0,1,10,3,0,1,0.3088,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,1,1,1,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0
-1,0.8778,82,12,0,0,0,1,17,3,0,1,0.5591,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,0,0,0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0
-1,0.8693,104,15,0,0,0,1,5,3,0,0,0.5873,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,0,0,1,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0
0,0.5175,55,9,0,0,0,1,18,3,0,1,0.4332,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,0,0,1,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0
0,0.4442,49,8,0,0,0,1,5,3,0,0,0.82,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,0,0,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,0
-1,0.5865,125,20,0,0,0,1,7,3,0,0,0.3328,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,0,0,1,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0
-1,0.7082,65,8,0,0,0,1,17,3,0,1,0.7365,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,0,0,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0
1,0.618,85,13,0,0,0,1,22,2,0,1,0.3788,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,1,2,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0
